DateTime,Description,Amount,Type,Category
2025-06-03 10:23:54,DUNKIN DONUTS,6.85,Expense,Food
2025-06-05 09:07:22,DIVIDEND PAYMENT,12.43,Income,Investments
2025-06-08 12:45:30,LYFT RIDE #38291,22.40,Expense,Transport
2025-06-10 09:18:25,FREELANCE PROJECT - JUNE,550.00,Income,Freelance
2025-06-12 15:24:33,BEST BUY ELECTRONICS,189.00,Expense,Shopping
2025-06-15 08:42:10,ACH CREDIT PAYROLL,2540.75,Income,Work
2025-06-18 12:58:47,ALDI GROCERY STORE,82.30,Expense,Groceries
2025-06-20 13:12:40,PLANET FITNESS MEMBERSHIP,45.00,Expense,Fitness
2025-06-25 20:40:25,ITALIAN RESTAURANT,36.10,Expense,Food
2025-06-28 20:41:08,ELECTRIC UTILITY PAYMENT,105.70,Expense,Utilities
2025-07-01 08:42:10,ACH CREDIT PAYROLL,2540.75,Income,Work
2025-07-03 13:12:30,SUBWAY SANDWICH,9.60,Expense,Food
2025-07-05 21:03:42,HBO MAX SUBSCRIPTION,15.99,Expense,Entertainment
2025-07-08 08:50:42,CLIENT PAYMENT - JULY,700.00,Income,Freelance
2025-07-10 12:39:10,COSTCO WHOLESALE,146.40,Expense,Groceries
2025-07-12 20:52:15,UBER RIDE #12398,19.60,Expense,Transport
2025-07-15 08:42:10,ACH CREDIT PAYROLL,2540.75,Income,Work
2025-07-18 12:28:37,TACO BELL #309,11.75,Expense,Food
2025-07-20 15:24:33,MACYS DEPARTMENT STORE,95.00,Expense,Shopping
2025-07-25 11:04:55,TARGET STORE 1175,98.35,Expense,Groceries
2025-07-28 17:33:11,WATER UTILITY PAYMENT,36.90,Expense,Utilities
2025-08-01 09:05:14,ACH CREDIT PAYROLL,2540.75,Income,Work
2025-08-03 10:23:54,STARBUCKS #1425,5.85,Expense,Food
2025-08-05 09:07:22,STOCK DIVIDEND,18.43,Income,Investments
2025-08-08 09:18:25,CONSULTING FEE - AUGUST,850.00,Income,Freelance
2025-08-10 13:58:11,WALMART SUPERCENTER 238,116.42,Expense,Groceries
2025-08-12 14:19:25,KOHLS SHOPPING,88.45,Expense,Shopping
2025-08-15 08:42:10,ACH CREDIT PAYROLL,2540.75,Income,Work
2025-08-18 11:35:49,WHOLE FOODS MARKET,103.10,Expense,Groceries
2025-08-20 13:12:40,PLANET FITNESS MEMBERSHIP,45.00,Expense,Fitness
2025-08-25 09:45:06,PERFORMANCE BONUS,600.00,Income,Work
2025-08-28 20:41:08,ELECTRIC UTILITY PAYMENT,112.70,Expense,Utilities
2025-09-01 08:42:10,ACH CREDIT PAYROLL,2540.75,Income,Work
2025-09-03 08:50:42,CLIENT PROJECT PAYMENT,750.00,Income,Freelance
2025-09-05 12:39:10,COSTCO WHOLESALE,156.40,Expense,Groceries
2025-09-08 21:00:47,APPLE TV+ SUBSCRIPTION,6.99,Expense,Entertainment
2025-09-10 18:17:44,CHEESECAKE FACTORY,48.80,Expense,Food
2025-09-12 13:32:45,AMAZON MARKETPLACE,75.18,Expense,Shopping
2025-09-15 08:42:10,ACH CREDIT PAYROLL,2540.75,Income,Work
2025-09-18 12:58:47,TRADER JOES 842,88.30,Expense,Groceries
2025-09-20 17:26:40,SPORTS NUTRITION SHOP,42.50,Expense,Fitness
2025-09-25 13:12:30,PANERA BREAD,14.60,Expense,Food
2025-09-28 17:33:11,WATER UTILITY PAYMENT,38.90,Expense,Utilities
2025-10-01 08:42:10,ACH CREDIT PAYROLL,2540.75,Income,Work
2025-10-01 10:23:54,STARBUCKS #1425,5.85,Expense,Food
2025-10-01 12:45:30,UBER *TRIP 4839,18.40,Expense,Transport
2025-10-02 09:13:02,TRANSFER FROM CLIENT X,650.00,Income,Freelance
2025-10-02 13:58:11,WALMART SUPERCENTER 238,96.42,Expense,Groceries
2025-10-02 21:17:19,NETFLIX.COM,15.99,Expense,Entertainment
2025-10-03 07:55:40,COFFEE BEAN CAFE,4.30,Expense,Food
2025-10-03 17:08:23,APPLE.COM/BILL,2.99,Expense,Entertainment
2025-10-03 19:45:50,UBER *EATS,22.75,Expense,Food
2025-10-04 08:20:05,PAYMENT FROM FREELANCER LTD,400.00,Income,Freelance
2025-10-04 11:35:49,WHOLE FOODS MARKET,83.10,Expense,Groceries
2025-10-04 22:14:31,AMC MOVIES #421,14.75,Expense,Entertainment
2025-10-05 09:07:22,INTEREST CREDIT,5.43,Income,Investments
2025-10-05 13:12:40,PLANET FITNESS MEMBERSHIP,45.00,Expense,Fitness
2025-10-05 19:25:19,ALDI SUPERMARKET,64.55,Expense,Groceries
2025-10-06 09:45:06,BONUS PAYMENT - PAYROLL,300.00,Income,Work
2025-10-06 12:50:11,PANERA BREAD 5831,13.20,Expense,Food
2025-10-06 20:41:08,ELECTRIC UTILITY PAYMENT,92.70,Expense,Utilities
2025-10-07 07:48:30,STOCK DIVIDEND - VANGUARD,47.60,Income,Investments
2025-10-07 14:19:25,NIKE.COM ORDER #73822,88.45,Expense,Shopping
2025-10-07 19:37:52,DOMINOS PIZZA 1289,16.20,Expense,Food
2025-10-08 09:05:14,ACH CREDIT PAYROLL,2540.75,Income,Work
2025-10-08 11:27:59,STARBUCKS #1425,5.75,Expense,Food
2025-10-08 18:44:32,LYFT RIDE #73184,14.90,Expense,Transport
2025-10-09 08:50:42,CLIENT TRANSFER - PROJECT Z,550.00,Income,Freelance
2025-10-09 12:39:10,COSTCO WHOLESALE,126.40,Expense,Groceries
2025-10-09 21:00:47,SPOTIFY SUBSCRIPTION,9.99,Expense,Entertainment
2025-10-10 07:13:16,COFFEE BEAN CAFE,4.60,Expense,Food
2025-10-10 09:55:33,PAYPAL TRANSFER - SALES,200.00,Income,Side Hustle
2025-10-10 18:17:44,OLIVE GARDEN #128,37.80,Expense,Food
2025-10-11 09:11:27,MONTHLY INTEREST,5.20,Income,Investments
2025-10-11 13:32:45,AMAZON MARKETPLACE,55.18,Expense,Shopping
2025-10-11 20:12:03,PARKING METER #A739,7.00,Expense,Transport
2025-10-12 09:17:22,VANGUARD DIVIDEND,29.00,Income,Investments
2025-10-12 11:04:55,TARGET STORE 1175,93.35,Expense,Groceries
2025-10-12 17:26:40,PROTEIN BAR SHOP,8.50,Expense,Fitness
2025-10-13 08:45:09,ACH CREDIT PAYROLL,2540.75,Income,Work
2025-10-13 13:12:30,CHIPOTLE #1159,12.60,Expense,Food
2025-10-13 21:03:42,DISNEY+,13.99,Expense,Entertainment
2025-10-14 09:18:25,CLIENT TRANSFER - BRAND B,500.00,Income,Freelance
2025-10-14 15:24:33,FOOT LOCKER PURCHASE,89.00,Expense,Shopping
2025-10-14 20:52:15,UBER RIDE #98222,21.60,Expense,Transport
2025-10-15 09:05:50,STOCK SALE GAIN,315.00,Income,Investments
2025-10-15 12:28:37,BURGER KING #209,10.75,Expense,Food
2025-10-15 17:33:11,WATER UTILITY PAYMENT,32.90,Expense,Utilities
2025-10-16 08:35:00,ACH CREDIT PAYROLL,2540.75,Income,Work
2025-10-16 12:58:47,TRADER JOES 842,72.30,Expense,Groceries
2025-10-16 20:40:25,SUSHI HOUSE RESTAURANT,26.10,Expense,Food
2025-10-17 09:41:50,YOUTUBE REVENUE PAYMENT,180.00,Income,Side Hustle
2025-10-20 10:15:30,STARBUCKS #1425,5.95,Expense,Food
2025-10-22 09:05:14,ACH CREDIT PAYROLL,2540.75,Income,Work
2025-10-25 12:39:10,WHOLE FOODS MARKET,108.40,Expense,Groceries
2025-10-28 14:22:18,TARGET SHOPPING,67.89,Expense,Shopping
2025-10-30 19:15:45,MEXICAN RESTAURANT,31.20,Expense,Food
2025-11-01 08:42:10,ACH CREDIT PAYROLL,2540.75,Income,Work
2025-11-01 10:23:54,STARBUCKS #1425,5.85,Expense,Food
2025-11-01 12:45:30,UBER *TRIP 4839,18.40,Expense,Transport
